
Details of users in a tabular form

User ID		Account ID	Display Name
22656		11683		Jon Skeet
157882		52822		BalusC
6309		4243		VonC
29407		14332		Darin Dimitrov
17034		9266		Hans Passant
23354		11975		Marc Gravell
1144035		1165580		Gordon Linoff
115145		39846		CommonsWare
100297		35417		Martijn Pieters
157247		52616		T.J. Crowder
34397		15988		SLaks
893		680		Greg Hewgill
19068		10162		Quentin
14860		8291		paxdiablo
95810		34048		Alex Martelli
335858		134022		dasblinkenlight
5445		3748		CMS
61974		24377		Mark Byers
20862		10930		Ignacio Vazquez-Abrams
13302		7633		marc_s
23283		11948		JaredPar
15168		8423		Jonathan Leffler
69083		26521		Guffa
218196		76141		Felix Kling
190597		64585		unutbu
88656		32093		Eric Lippert
571407		277416		JB Nizet
13249		7598		Nick Craver
548225		262968		anubhava
106224		37175		BoltClock
139985		47283		Stephen C
505088		237126		David Heffernan
19563		10375		CB Bailey
53114		21746		Gumbo
18393		9867		cletus
203907		70258		Bozho
70604		26957		Pascal Thivent
65358		25430		Reed Copsey
104349		36572		Daniel Roseman
57695		23121		Peter Lawrey
18936		10108		bobince
816620		432092		jfriend00
1491895		1613587		Barmar
12950		7448		tvanfosson
3732271		4601727		akrun
1583		1190		Oded
34509		16029		Johannes Schaub - litb
224671		79153		kennytm
1187415		1220712		Martin R
1968		1475		Konrad Rudolph
476		378		deceze
179910		60200		Jerry Coffin
922184		559988		Mysticial
16417		8983		Paolo Bergantino
20860		10929		Bill Karwin
1048572		1042959		Bergi
9021		5559		nickf
596781		293472		Kerrek SB
284240		106749		Rango
9951		6018		e-satis
187606		63368		Pekka 웃
148870		49939		Amber
279627		104636		Sven Marnach
367273		152622		NPE
479863		221717		mu is too short
227665		80529		codaddict
939860		904738		Erwin Brandstetter
73226		27657		Martin Smith
33708		15778		Mehrdad Afshari
50079		20816		Jon
27535		13638		gbn
2901002		3465245		jezrael
31671		15143		alex
21234		11089		skaffman
65863		25589		Remy Lebeau
138475		46833		Pascal MARTIN
119963		41301		Cascabel
55159		22397		Quassnoi
341994		137658		matt
217408		879403		G&#252;nter Z&#246;chbauer
771848		403854		alecxe
276052		102965		aioobe
413501		180279		Ladislav Mrnka
114251		39580		Arun P Johny
28169		13903		unwind
3832970		4739783		Wiktor Stribiżew
10661		6358		S.Lott
182668		61252		Pointy
118068		40721		Marc B
3043		2212		Joel Coehoorn
9530		5807		Adam Rosenfield
1271826		1327250		Rob
139459		47126		Sarfraz
330315		130792		a_horse_with_no_name
440558		196869		Some programmer dude
87234		31692		GManNickG
992484		969721		MadProgrammer
256196		93689		Bohemian
149392		50123		sepp2k
70393		26897		karim79
16883		9193		Michael Borgwardt
77567		28897		rob mayoff
1288		970		Bill the Lizard
215945		75262		Mark Rajcok
223092		78362		Mark Longair
2988		2172		J&#246;rg W Mittag
560648		270599		Lightness Races in Orbit
267		213		Lasse V&#229;gs&#230;ther Karlsen
28804		14130		mipadi
734069		380209		Nicol Bolas
151292		50706		James McNellis
1221571		1263831		Eran
276101		102991		polygenelubricants
263693		97153		Stephen Cleary
12711		7335		Michael Burr
139010		46972		Matt Ball
166749		55665		Fred Foo
143305		48260		Dirk Eddelbuettel
263525		97082		Denys S&#233;guret
34211		15935		Andrew Hare
104891		36734		CrazyCoder
85371		31164		sehe
131872		44852		camickr
6782		4495		Alnitak
222908		78284		Daniel Vassallo
95592		33990		Matthew Rankin
938089		902274		Rob W
37213		16878		duffymo
605744		299251		Tomasz Nurkiewicz
4279		3021		jfs
73070		27626		Joey
94197		33608		Andy E
501557		235018		templatetypedef
589924		289134		ikegami
208809		72299		Gordon
965051		936155		adeneo
207421		71739		user207421
522444		247613		Hovercraft Full Of Eels
113716		39431		user113716
187690		63402		AnT
14343		8083		Ned Batchelder
18771		10030		Tomalak
135152		45798		OMG Ponies
507674		238644		Niet the Dark Absol
24181		12317		Greg
16076		8834		Mitch Wheat
53013		21713		Daniel C. Sobral
908494		808621		abarnert
1126841		1143565		chepner
3153		2279		Brian R. Bondy
415784		181638		Nawaz
96100		34120		Tim Down
20670		10843		Tim Pietzcker
2225682		176857		falsetru
829571		440158		assylias
34088		15903		Aaron Digulla
519413		245734		Rory McCrossan
105929		37082		Remus Rusanu
68587		26377		John Kugelman
1226963		1270581		rmaddy
6521		4365		Paul Dixon
26428		13225		Dennis Williamson
298479		113304		ThiefMaster
75170		28214		John Feminella
209103		72426		Frank van Puffelen
40342		17835		Joachim Sauer
98713		34908		Thomas Levesque
103167		36215		Ben Voigt
69755		26707		Brian Campbell
13005		7470		Steve Jessop
342852		138128		Sean Patrick Floyd
1863229		2094057		Tim Biegeleisen
115730		40014		Dave DeLong
12960		7450		Brian Agnew
129570		44195		Oliver Charlesworth
541091		258733		Michael Berkowski
5987		4060		Mark Ransom
54680		22243		Sampson
405017		175180		Phrogz
3474		2496		erickson
131527		44762		ghostdog74
47773		20130		Matthew Flaschen
7432		4815		Bryan Oakley
526535		250063		manojlds
204847		70736		Mike Seymour
46058		19605		Jakub Narębski
1855677		58121		42-
216074		75311		poke
174728		58364		John La Rooy
487339		226344		DSM
36305		16586		Dimitre Novatchev
748858		314979		mgilson
1259510		1311620		JohnnyHK
438154		195331		Sotirios Delimanolis
315935		122241		Oleg
61305		24165		Aaron Bertrand
464709		212100		Fr&#233;d&#233;ric Hamidi
60761		24018		Henk Holterman
84651		30940		Justin Niessner
464744		212122		Blender
3681880		4531600		Suragch
33213		15628		jalf
491243		228742		John Woo
55847		22580		LukeH
103154		36208		axtavt
5190		3591		Vinko Vrsalovic
147192		49441		Matthieu M.
82548		30300		David Thomas
97337		34424		Rob Napier
50742		21006		Chuck
535871		255665		Ted Hopp
260990		95910		Jigar Joshi
33518		15728		Tomas Petricek
21886		11369		RichieHindle
35070		16209		phihag
14065		7972		Martin York
673730		342531		Luchian Grigore
398670		171331		Craig Ringer
12855		7405		SilentGhost
15498		8564		Damien_The_Unbeliever
14955		8326		Thilo
45914		19555		jason
1256452		1307867		torek
366904		152400		Cody Gray
171456		57246		Zim
827263		438773		Keith Thompson
7412		4804		dogbane
50552		20961		Andomar
134633		45644		caf
8985		5546		Ryan McGeary
426671		188123		Taryn
251311		91548		zerkms
1348195		1424245		Benjamin Gruenbaum
1447675		1556832		Nina Scholz
661519		334826		juanchopanza
10397		6228		Justin Cave
470005		215377		Sergey Berezovskiy
24874		12585		Drew Noakes
230513		81822		trashgod
1240268		515061		Andy Hayden
1774667		1977123		Yakk - Adam Nevraumont
405015		175179		thirtydot
250259		91055		John Conde
